2023/10/19 11:07:19 [error] 12#12: *14 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /chaoti/user/get-token HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100"
2023/10/19 11:12:08 [error] 14#14: *19 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /chaoti/user/get-token HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100"
2023/10/19 11:30:19 [error] 15#15: *24 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /chaoti/user/get-token HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100"
2023/10/19 17:38:42 [error] 18#18: *30 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /chaoti/user/get-token HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100"
2023/10/19 17:40:11 [error] 18#18: *30 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /chaoti/user/get-token HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100"
2023/10/19 17:55:18 [error] 19#19: *34 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /chaoti/user/get-token HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100"
2023/10/19 17:59:11 [error] 8#8: *37 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /chaoti/user/get-token HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100"
2023/10/19 18:01:46 [error] 8#8: *37 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /chaoti/user/get-token HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100"
2023/10/19 18:05:32 [error] 8#8: *41 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /chaoti/user/get-token HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100"
2023/10/23 17:35:36 [error] 8#8: *1 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "GET /order/refund/get-refund-deduct?order_sn=3100056714&token=5c37233f0089562d9da2a0a172216218&t=1698053566827&shop_id=6&platformId=1&version=2023002 HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100", referrer: "https://sxdev.hltmsp.com/"
2023/10/23 17:58:06 [error] 9#9: *3 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "GET /order/refund/get-refund-deduct?order_sn=3100056715&token=5c37233f0089562d9da2a0a172216218&t=1698054851915&shop_id=6&platformId=1&version=2023002 HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100", referrer: "https://sxdev.hltmsp.com/"
2023/10/24 15:47:17 [error] 11#11: *14 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /order/refund/addrefund HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100", referrer: "https://sxdev.hltmsp.com/"
2023/10/24 16:07:15 [error] 12#12: *16 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "POST /order/refund/addrefund HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100", referrer: "https://sxdev.hltmsp.com/"
2023/10/26 09:47:35 [error] 13#13: *18 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:19003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 192.168.65.1, server: hyg-api.local.hltmsp.com, request: "GET /index.php?r=/order/refund/apply-refund HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-api.local.hltmsp.com:12100", referrer: "https://hyg-admin.dev.hltmsp.com/index.php?r=order/order/index"
2023/10/26 09:48:15 [error] 14#14: *20 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:19003 (through xdebug.client_host/xdebug.client_port) :-(PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: host.docker.internal:19003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 192.168.65.1, server: hyg-admin.local.hltmsp.com, request: "GET /index.php?r=/order/refund/apply-refund HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-admin.local.hltmsp.com:12100", referrer: "https://hyg-admin.dev.hltmsp.com/index.php?r=order/order/index"
2023/10/26 09:52:12 [error] 14#14: *20 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-admin.local.hltmsp.com, request: "GET /index.php?r=/order/refund/apply-refund HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-admin.local.hltmsp.com:12100", referrer: "https://hyg-admin.dev.hltmsp.com/index.php?r=order/order/index"
2023/10/26 09:56:05 [error] 15#15: *32 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-admin.local.hltmsp.com, request: "POST /index.php?r=/order/refund/apply-refund HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-admin.local.hltmsp.com:12100", referrer: "https://hyg-admin.dev.hltmsp.com/index.php?r=order/order/index"
2023/10/26 09:57:22 [error] 15#15: *32 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-admin.local.hltmsp.com, request: "POST /index.php?r=/order/refund/apply-refund HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-admin.local.hltmsp.com:12100", referrer: "https://hyg-admin.dev.hltmsp.com/index.php?r=order/order/index"
2023/10/26 09:58:34 [error] 15#15: *32 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 192.168.65.1, server: hyg-admin.local.hltmsp.com, request: "POST /index.php?r=/order/refund/apply-refund HTTP/1.1", upstream: "fastcgi://172.24.0.3:9000", host: "hyg-admin.local.hltmsp.com:12100", referrer: "https://hyg-admin.dev.hltmsp.com/index.php?r=order/order/index"
